institution_id,location_id,enrollment,admission_rate,tuition_in_state,tuition_out_state,median_earnings_10yr,median_earnings_6yr,graduation_rate,median_debt,grad_median_debt,pct_pell_grant,pct_federal_loan,retention_rate,pct_female,pct_first_gen,poverty_rate,unemp_rate,pct_white,pct_black,pct_hispanic,pct_asian
231785,47,1709.0,,18489.0,18489.0,32568.0,27873.0,0.2446,9500.0,21549.0,0.6484,0.7738,1.0,0.8171590332,0.5378553335,15.0500001907348,4.96999979019165,62.7999992370605,30.3899993896484,4.78999996185302,1.94000005722045
231873,47,425.0,,5022.0,11460.0,34293.0,29997.0,0.3772,6500.0,9182.0,0.2675,0.0509,,0.5905172414,0.4938574939,7.80000019073486,3.06999993324279,91.7900009155273,6.28999996185302,0.79000002145767,0.46000000834465
231882,47,1306.0,,4992.0,11430.0,31664.0,29054.0,0.3927,6100.0,9000.0,0.3684,0.0398,,0.5626865672,0.4956063269,11.869999885559,4.19999980926513,63.7700004577636,34.4199981689453,1.37000000476837,0.37999999523162
232025,47,1078.0,0.8365,39000.0,39000.0,47385.0,39448.0,0.5634,18460.0,26332.0,0.3848,0.5899,0.6627,0.4874100719,0.2670565302,8.55000019073486,2.80999994277954,89.0400009155273,7.65000009536743,2.09999990463256,1.21000003814697
232043,47,754.0,1.0,43920.0,43920.0,54869.0,48158.0,0.67,16750.0,24813.0,0.3268,0.5562,0.7609,0.6357142857,0.3190661479,6.48999977111816,2.61999988555908,88.4100036621093,6.55999994277954,4.67000007629394,1.50999999046325
232089,47,699.0,0.8898,28520.0,28520.0,44296.0,36418.0,0.319,14250.0,27000.0,0.5427,0.8541,0.6414,0.3958785249,0.3884892086,7.46000003814697,2.75999999046325,78.5599975585937,16.5499992370605,3.45000004768371,1.8400000333786
232186,47,27752.0,0.8748,14220.0,38688.0,76343.0,60536.0,0.6784,15750.0,19500.0,0.3013,0.3071,0.8599,0.557201846,0.2998785917,4.01000022888183,2.19000005722045,72.1100006103515,12.539999961853,9.10000038146972,8.05000019073486
232195,47,5508.0,,5257.0,11648.0,39644.0,35697.0,0.4647,5500.0,8400.0,0.265,0.04,,0.6220646876,0.4231354642,4.80000019073486,2.58999991416931,80.2099990844726,15.0,3.03999996185302,1.33000004291534
232256,47,946.0,0.4092,54550.0,54550.0,67640.0,55846.0,0.6217,19500.0,26000.0,0.2263,0.472,0.8368,,,6.25,2.55999994277954,78.1100006103515,16.4500007629394,3.25999999046325,2.30999994277954
232265,47,3727.0,0.6225,30592.0,30592.0,59159.0,42721.0,0.5716,19500.0,25442.0,0.3935,0.5604,0.8534,0.6915351506,0.1975116641,9.56999969482422,4.01000022888183,50.7900009155273,38.2799987792968,8.4399995803833,3.86999988555908
232308,47,665.0,0.6795,43560.0,43560.0,40075.0,29863.0,0.6465,22925.0,27000.0,0.3944,0.563,0.7396,,0.2582417582,6.65999984741211,2.75999999046325,81.1299972534179,12.5900001525878,4.65000009536743,2.55999994277954
232414,47,5586.0,,5280.0,11718.0,39529.0,32102.0,0.3223,8000.0,10500.0,0.3192,0.0459,,0.6150178784,0.4503195816,9.89999961853027,3.32999992370605,55.2799987792968,39.4700012207031,2.55999994277954,2.06999993324279
232423,47,20888.0,0.7152,14250.0,31604.0,69954.0,57438.0,0.7972,17272.0,20093.0,0.1712,0.2903,0.9198,0.6132253203,0.2083089526,4.65999984741211,2.39000010490417,81.6399993896484,11.1099996566772,4.15999984741211,3.65000009536743
232450,47,5792.0,,5082.0,11520.0,41223.0,35568.0,0.3834,5500.0,9500.0,0.2252,0.0328,,0.6336578581,0.4151495449,7.32999992370605,2.83999991416931,64.1500015258789,30.9799995422363,2.83999991416931,1.69000005722045
232557,47,50012.0,0.9898,22465.0,22465.0,44813.0,39707.0,0.6533,15943.0,24500.0,0.3834,0.4625,0.8013,0.6439648587,0.4239865593,7.59999990463257,3.08999991416931,79.1299972534179,14.329999923706,5.55999994277954,2.00999999046325
232566,47,3015.0,0.9022,15744.0,27978.0,52347.0,46058.0,0.6123,19000.0,25000.0,0.2771,0.4592,0.7977,0.6877637131,0.2788768347,6.40000009536743,2.51999998092651,73.4700012207031,20.9599990844726,2.9300000667572,2.47000002861022
232575,47,3195.0,,5072.0,11510.0,41000.0,36455.0,0.446,5982.0,9750.0,0.1793,0.0239,,0.6533333333,0.5097545626,5.63999986648559,2.09999990463256,91.3499984741211,5.40999984741211,2.51999998092651,0.70999997854232
232609,47,1577.0,0.4301,36750.0,36750.0,56380.0,44261.0,0.5736,22500.0,27000.0,0.279,0.6696,0.7061,0.6171548117,0.3015184382,5.92999982833862,2.57999992370605,79.1600036621093,15.3199996948242,3.28999996185302,2.47000002861022
232618,47,219.0,1.0,12983.0,12983.0,60122.0,60052.0,1.0,12000.0,15250.0,0.467,0.6934,,0.9234972678,0.5602409639,9.22000026702881,2.96000003814697,76.0899963378906,21.2900009155273,1.10000002384185,0.75
232672,47,1090.0,,34152.0,34152.0,44427.0,39075.0,0.393,12250.0,26586.0,0.5532,0.7068,0.6678,0.9311258278,0.4,7.07999992370605,2.65000009536743,76.5999984741211,17.9799995422363,3.60999989509582,2.04999995231628
232681,47,3566.0,0.7978,14640.0,27560.0,60613.0,49411.0,0.6641,16250.0,20500.0,0.2105,0.2927,0.844,0.6853146853,0.2479892761,4.17000007629394,2.32999992370605,81.0899963378906,11.3999996185302,4.5,3.46000003814697
232706,47,1810.0,0.9316,40920.0,40920.0,67516.0,57801.0,0.5351,20000.0,25000.0,0.2306,0.343,0.7259,0.7027559055,0.2982646421,5.1100001335144,2.65000009536743,67.5999984741211,18.1200008392334,9.82999992370605,6.65999984741211
232797,47,630.0,,10961.0,10961.0,26370.0,23830.0,0.3333,7567.0,12814.0,0.6827,0.7201,0.8333,0.8436098655,0.5898681471,11.0699996948242,3.49000000953674,76.9000015258789,20.2900009155273,1.41999995708465,0.82999998331069
232867,47,1965.0,,4979.0,11417.0,40025.0,32910.0,0.4989,5998.0,9000.0,0.2276,0.0318,,0.5387076136,0.43281471,8.8100004196167,2.91000008583068,90.6800003051757,5.76999998092651,1.71000003814697,1.50999999046325
232919,47,367.0,,16337.0,16337.0,31657.0,36833.0,0.7143,9500.0,9500.0,0.5953,0.3852,,0.0878186969,0.5116731518,15.619999885559,4.55000019073486,46.7099990844726,47.0499992370605,3.05999994277954,2.27999997138977
232937,47,5392.0,0.8777,10180.0,21682.0,44666.0,33412.0,0.385,17277.0,29000.0,0.6497,0.6388,0.7256,0.6717408275,0.3735213831,11.5200004577636,4.0,50.0200004577636,42.0999984741211,5.25,2.77999997138977
232946,47,33048.0,,5891.0,12409.0,53557.0,40698.0,0.3305,7000.0,11000.0,0.2021,0.0684,,0.5295088733,0.4111453334,4.34000015258789,2.23000001907348,66.9100036621093,14.8100004196167,12.0600004196167,8.77999973297119
232982,47,17514.0,0.9036,12750.0,33780.0,54914.0,46732.0,0.4632,16300.0,24000.0,0.3682,0.4056,0.7691,0.6019766397,0.3321371117,7.59999990463257,3.03999996185302,67.5199966430664,25.5499992370605,3.69000005722045,2.9300000667572
233037,47,613.0,,5012.0,11450.0,36031.0,30338.0,0.3571,5500.0,6880.0,0.286,0.0616,,0.7082018927,0.495256167,12.289999961853,3.25999999046325,53.6899986267089,44.3300018310546,0.94999998807907,0.4699999988079
233116,47,3045.0,,5072.0,11510.0,40752.0,34000.0,0.3859,5500.0,8750.0,0.2509,0.0284,,0.591080402,0.4461538462,7.30000019073486,2.30999994277954,79.7200012207031,15.6800003051757,2.45000004768371,2.00999999046325
233277,47,6038.0,0.8953,12548.0,25633.0,53739.0,44830.0,0.4866,17500.0,24000.0,0.3713,0.5074,0.7557,0.5950139914,0.3143638851,6.23999977111816,2.46000003814697,83.0199966430664,11.539999961853,2.96000003814697,2.5
233295,47,1639.0,0.8661,49466.0,49466.0,58448.0,48067.0,0.7048,22500.0,27000.0,0.1987,0.5733,0.8372,0.546191248,0.2254237288,4.69999980926513,2.32999992370605,78.3899993896484,15.8000001907348,3.14000010490417,2.74000000953674
233301,47,658.0,0.9371,30310.0,30310.0,53409.0,39122.0,0.4639,17455.0,26950.0,0.4584,0.671,0.745,0.7146892655,0.2626865672,6.8600001335144,2.97000002861022,77.8300018310547,14.1099996566772,6.32999992370605,2.79999995231628
233329,47,399.0,,14801.0,14801.0,32754.0,27043.0,0.2958,9396.0,9500.0,0.7841,0.7273,,0.7854938272,0.5291902072,11.8199996948242,3.36999988555908,77.370002746582,19.6000003814697,2.02999997138977,0.54000002145767
233338,47,894.0,0.8926,9090.0,14970.0,41452.0,34377.0,0.0908,5750.0,11000.0,0.1624,0.1443,,0.5898876404,0.4516129032,8.38000011444091,3.09999990463256,59.5299987792968,36.5499992370605,2.25999999046325,1.23000001907348
233374,47,2980.0,0.222,65230.0,65230.0,76178.0,67927.0,0.852,19000.0,21000.0,0.1716,0.3166,0.9075,0.5490909091,0.1226295828,4.78999996185302,2.53999996185302,81.5400009155273,12.1999998092651,3.77999997138977,3.11999988555908
233408,47,350.0,0.129,17250.0,17250.0,66072.0,54261.0,1.0,14250.0,14787.0,0.4615,0.7477,,,0.344,7.32000017166137,2.97000002861022,64.5599975585937,29.1499996185302,3.25,2.26999998092651
233426,47,1767.0,0.8306,38068.0,38068.0,58047.0,45330.0,0.6736,22313.0,27000.0,0.244,0.8032,0.7571,0.5968523002,0.206590621,4.73999977111816,2.25999999046325,86.75,8.52999973297119,2.67000007629394,2.16000008583068
233541,47,2116.0,0.7695,36950.0,36950.0,58433.0,48167.0,0.6682,19500.0,25000.0,0.1892,0.5073,0.8174,0.6084990958,0.2771317829,5.32000017166137,2.44000005722045,80.3799972534179,11.9600000381469,4.92999982833862,3.32999992370605
